"","ARI","ATL","BAL","BOS","CHC","CHW","CIN","CLE","COL","DET","HOU","KC","LAA","LAD","MIA","MIL","MIN","NYM","NYY","OAK","PHI","PIT","SD","SEA","SF","STL","TB","TEX","TOR","WAS"
"ARI",0,1588,2000,2293,1452,1451,1577,1746,586,1687,1015,1052,335,357,1976,1459,1278,2148,2144,642,2078,1824,299,1114,652,1270,1786,868,1886,1979
"ATL",1588,0,577,935,595,587,371,556,1211,599,700,670,1915,1932,604,671,909,755,755,2124,664,523,1887,2179,2134,468,425,736,735,543
"BAL",2000,577,0,358,607,604,422,307,1506,397,1249,955,2301,2314,956,644,938,179,178,2440,89,197,2291,2328,2449,730,868,1226,333,35
"BOS",2293,935,358,0,847,847,736,547,1763,610,1601,1242,2579,2588,1256,857,1120,180,180,2681,271,480,2577,2484,2689,1034,1198,1562,428,392
"CHC",1452,595,607,847,0,8,257,309,917,237,945,410,1731,1741,1195,76,351,720,715,1842,666,411,1731,1730,1852,266,1019,819,435,599
"CHW",1451,587,604,847,8,0,250,308,918,237,939,408,1731,1741,1187,84,357,719,714,1844,664,408,1731,1734,1853,260,1011,813,436,595
"CIN",1577,371,422,736,257,250,0,223,1092,237,892,535,1880,1892,953,326,606,576,573,2028,501,257,1869,1967,2037,308,790,828,411,403
"CLE",1746,556,307,547,309,308,223,0,1224,91,1114,695,2034,2044,1089,338,631,411,406,2152,359,114,2031,2021,2161,491,950,1039,189,306
"COL",586,1211,1506,1763,917,918,1092,1224,0,1154,880,563,822,829,1724,909,698,1635,1630,936,1575,1317,833,1018,946,796,1521,654,1342,1491
"DET",1687,599,397,610,237,237,237,91,1154,0,1106,640,1969,1978,1155,254,542,488,483,2076,443,205,1968,1933,2085,454,1007,1012,206,397
"HOU",1015,700,1249,1601,945,939,892,1114,880,1106,0,644,1349,1372,964,1004,1058,1426,1424,1631,1338,1136,1302,1890,1642,680,781,231,1300,1218
"KC",1052,670,955,1242,410,408,535,695,563,640,644,0,1346,1358,1235,436,414,1097,1093,1498,1030,774,1339,1509,1508,233,1034,459,843,937
"LAA",335,1915,2301,2579,1731,1731,1880,2034,822,1969,1349,1346,0,28,2312,1729,1515,2442,2438,365,2376,2120,86,981,373,1573,2122,1202,2162,2283
"LAD",357,1932,2314,2588,1741,1741,1892,2044,829,1978,1372,1358,28,0,2333,1737,1520,2453,2448,337,2388,2131,113,958,346,1586,2143,1221,2170,2295
"MIA",1976,604,956,1256,1195,1187,953,1089,1724,1155,964,1235,2312,2333,0,1270,1513,1098,1101,2577,1019,1014,2266,2729,2587,1060,203,1123,1235,924
"MIL",1459,671,644,857,76,84,326,338,909,254,1004,436,1729,1737,1270,0,296,742,737,1825,696,447,1733,1685,1833,326,1095,865,433,639
"MIN",1278,909,938,1120,351,357,606,631,698,542,1058,414,1515,1520,1513,296,0,1024,1018,1571,985,742,1530,1391,1579,467,1325,869,692,935
"NYM",2148,755,179,180,720,719,576,411,1635,488,1426,1097,2442,2453,1098,742,1024,0,7,2563,91,324,2436,2408,2572,880,1027,1395,347,212
"NYY",2144,755,178,180,715,714,573,406,1630,483,1424,1093,2438,2448,1101,737,1018,7,0,2558,91,320,2432,2402,2567,876,1029,1392,340,212
"OAK",642,2124,2440,2681,1842,1844,2028,2152,936,2076,1631,1498,365,337,2577,1825,1571,2563,2558,0,2507,2249,450,680,10,1730,2380,1454,2254,2426
"PHI",2078,664,89,271,666,664,501,359,1575,443,1338,1030,2376,2388,1019,696,985,91,91,2507,0,258,2368,2375,2516,808,941,1312,337,121
"PIT",1824,523,197,480,411,408,257,114,1317,205,1136,774,2120,2131,1014,447,742,324,320,2249,258,0,2113,2132,2258,557,889,1084,223,193
"SD",299,1887,2291,2577,1731,1731,1869,2031,833,1968,1302,1339,86,113,2266,1733,1530,2436,2432,450,2368,2113,0,1064,458,1561,2078,1165,2164,2271
"SEA",1114,2179,2328,2484,1730,1734,1967,2021,1018,1933,1890,1509,981,958,2729,1685,1391,2408,2402,680,2375,2132,1064,0,678,1721,2526,1669,2066,2324
"SF",652,2134,2449,2689,1852,1853,2037,2161,946,2085,1642,1508,373,346,2587,1833,1579,2572,2567,10,2516,2258,458,678,0,1740,2390,1464,2262,2435
"STL",1270,468,730,1034,266,260,308,491,796,454,680,233,1573,1586,1060,326,467,880,876,1730,808,557,1561,1721,1740,0,867,560,660,710
"TB",1786,425,868,1198,1019,1011,790,950,1521,1007,781,1034,2122,2143,203,1095,1325,1027,1029,2380,941,889,2078,2526,2390,867,0,926,1112,833
"TEX",868,736,1226,1562,819,813,828,1039,654,1012,231,459,1202,1221,1123,865,869,1395,1392,1454,1312,1084,1165,1669,1464,560,926,0,1216,1199
"TOR",1886,735,333,428,435,436,411,189,1342,206,1300,843,2162,2170,1235,433,692,347,340,2254,337,223,2164,2066,2262,660,1112,1216,0,352
"WAS",1979,543,35,392,599,595,403,306,1491,397,1218,937,2283,2295,924,639,935,212,212,2426,121,193,2271,2324,2435,710,833,1199,352,0
