"","ARI","ATL","BAL","BUF","CAR","CHI","CIN","CLE","DAL","DEN","DET","GB","HOU","IND","JAC","KC","MIA","MIN","NE","NO","NYG","NYJ","OAK","PHI","PIT","SD","SEA","SF","STL","TB","TEN","WAS"
"ARI",0,1598,2008,1913,1788,1459,1585,1753,879,588,1694,1496,1025,1503,1803,1059,1982,1283,2291,1324,2145,2144,629,2086,1832,286,1104,637,1279,1802,1453,1995
"ATL",1598,0,576,693,226,587,369,555,736,1211,598,768,705,426,287,669,594,907,917,424,748,747,2122,663,522,1883,2177,2133,466,415,214,550
"BAL",2008,576,0,267,364,603,423,308,1226,1508,397,689,1255,509,681,955,944,937,341,998,172,172,2439,89,197,2287,2328,2450,730,851,594,29
"BUF",1913,693,267,0,533,455,392,173,1212,1373,219,479,1290,436,874,857,1165,736,386,1084,278,278,2289,273,172,2183,2118,2300,661,1043,624,285
"CAR",1788,226,364,533,0,586,335,436,945,1357,505,746,930,427,342,795,641,938,701,649,535,534,2284,448,365,2073,2280,2295,566,510,338,336
"CHI",1459,587,603,455,586,0,251,306,816,920,237,184,947,164,864,410,1176,355,839,834,706,705,1844,664,407,1728,1734,1855,261,1002,396,601
"CIN",1585,369,423,392,335,251,0,223,828,1093,237,416,898,99,628,534,941,605,725,706,566,565,2027,501,257,1865,1967,2038,307,777,237,411
"CLE",1753,555,308,173,436,306,223,0,1039,1225,90,382,1120,263,773,694,1077,629,539,925,400,399,2151,360,114,2026,2020,2161,490,936,459,312
"DAL",879,736,1226,1212,945,816,828,1039,0,654,1013,946,234,777,925,459,1116,869,1549,457,1386,1385,1453,1312,1084,1162,1669,1463,561,929,633,1207
"DEN",588,1211,1508,1373,1357,920,1093,1225,654,0,1156,927,882,1000,1468,564,1716,700,1758,1081,1625,1624,934,1577,1318,827,1018,945,797,1520,1022,1500
"DET",1694,598,397,219,505,237,237,90,1013,1156,0,293,1112,241,834,640,1143,542,603,941,476,475,2076,443,204,1964,1933,2087,454,993,471,402
"GB",1496,768,689,479,746,184,416,382,946,927,293,0,1100,342,1040,501,1354,257,859,1011,754,754,1822,731,496,1752,1644,1833,420,1182,580,694
"HOU",1025,705,1255,1290,930,947,898,1120,234,882,1112,1100,0,871,825,649,961,1063,1592,320,1423,1423,1630,1343,1143,1298,1891,1640,686,790,671,1232
"IND",1503,426,509,436,427,164,99,263,777,1000,241,342,871,0,700,447,1013,511,793,713,641,641,1933,583,329,1781,1868,1944,229,841,250,500
"JAC",1803,287,681,874,342,864,628,773,925,1468,834,1040,825,700,0,945,313,1193,996,505,840,839,2359,755,706,2086,2452,2369,752,170,501,652
"KC",1059,669,955,857,795,410,534,694,459,564,640,501,649,447,945,0,1225,414,1233,677,1086,1086,1497,1030,774,1334,1509,1508,233,1028,466,945
"MIA",1982,594,944,1165,641,1176,941,1077,1116,1716,1143,1354,961,1013,313,1225,0,1500,1226,661,1086,1086,2569,1007,1002,2258,2720,2579,1049,197,804,916
"MIN",1283,907,937,736,938,355,605,629,869,700,542,257,1063,511,1193,414,1500,0,1116,1052,1010,1010,1571,984,740,1526,1392,1582,466,1315,697,939
"NE",2291,917,341,386,701,839,725,539,1549,1758,603,859,1592,793,996,1233,1226,1116,0,1340,169,170,2675,254,468,2564,2485,2686,1022,1162,925,367
"NO",1324,424,998,1084,649,834,706,925,457,1081,941,1011,320,713,505,677,661,1052,1340,0,1171,1170,1909,1087,921,1603,2098,1919,600,478,470,973
"NYG",2145,748,172,278,535,706,566,400,1386,1625,476,754,1423,641,840,1086,1086,1010,169,1171,0,1,2550,86,313,2421,2396,2561,869,1009,758,199
"NYJ",2144,747,172,278,534,705,565,399,1385,1624,475,754,1423,641,839,1086,1086,1010,170,1170,1,0,2550,85,312,2420,2396,2560,868,1008,757,198
"OAK",629,2122,2439,2289,2284,1844,2027,2151,1453,934,2076,1822,1630,1933,2359,1497,2569,1571,2675,1909,2550,2550,0,2506,2248,447,680,11,1730,2381,1947,2432
"PHI",2086,663,89,273,448,664,501,360,1312,1577,443,731,1343,583,755,1030,1007,984,254,1087,86,85,2506,0,259,2364,2375,2517,807,924,682,114
"PIT",1832,522,197,172,365,407,257,114,1084,1318,204,496,1143,329,706,774,1002,740,468,921,313,312,2248,259,0,2108,2131,2258,556,874,471,199
"SD",286,1883,2287,2183,2073,1728,1865,2026,1162,827,1964,1752,1298,1781,2086,1334,2258,1526,2564,1603,2421,2420,447,2364,2108,0,1059,452,1558,2080,1737,2275
"SEA",1104,2177,2328,2118,2280,1734,1967,2020,1669,1018,1933,1644,1891,1868,2452,1509,2720,1392,2485,2098,2396,2396,680,2375,2131,1059,0,683,1720,2522,1970,2330
"SF",637,2133,2450,2300,2295,1855,2038,2161,1463,945,2087,1833,1640,1944,2369,1508,2579,1582,2686,1919,2561,2560,11,2517,2258,452,683,0,1741,2391,1958,2443
"STL",1279,466,730,661,566,261,307,490,561,797,454,420,686,229,752,233,1049,466,1022,600,869,868,1730,807,556,1558,1720,1741,0,859,253,717
"TB",1802,415,851,1043,510,1002,777,936,929,1520,993,1182,790,841,170,1028,197,1315,1162,478,1009,1008,2381,924,874,2080,2522,2391,859,0,619,822
"TEN",1453,214,594,624,338,396,237,459,633,1022,471,580,671,250,501,466,804,697,925,470,758,757,1947,682,471,1737,1970,1958,253,619,0,575
"WAS",1995,550,29,285,336,601,411,312,1207,1500,402,694,1232,500,652,945,916,939,367,973,199,198,2432,114,199,2275,2330,2443,717,822,575,0
