"","ANA","ATL","BOS","BUF","CGY","CAR","CHI","COL","CBJ","DAL","DET","EDM","FLA","HAR","HOU","KC","LA","LV","MIL","MIN","MON","NAS","NJ","NYI","NYR","ONT","OTT","PHI","PHO","PIT","POR","QUE","SAS","SEA","SJ","STL","TB","TOR","VAN","WAS","WPG"
"ANA",0,1914,2580,2174,1206,2211,1729,821,1960,1216,1968,1383,2295,2499,1349,1341,28,220,1731,1522,2456,1760,2425,2455,2434,2165,2341,2375,323,2120,849,2573,1387,980,332,1572,2129,2162,1102,2281,1531
"ATL",1914,0,936,706,1905,352,589,1210,436,720,596,1971,579,845,701,675,1933,1744,669,901,993,214,740,764,748,749,915,663,1598,521,2168,1135,1686,2177,2109,467,418,734,2238,543,1290
"BOS",2580,936,0,409,2090,611,851,1766,642,1549,612,2071,1237,93,1604,1248,2592,2373,856,1112,250,942,196,173,188,430,316,273,2302,481,2532,309,1780,2485,2679,1036,1184,429,2500,394,1344
"BUF",2174,706,409,0,1717,504,446,1358,297,1196,209,1716,1172,338,1288,852,2186,1966,447,708,319,630,299,325,306,55,218,298,1902,189,2136,461,1420,2097,2270,658,1063,42,2119,308,977
"CGY",1206,1905,2090,1717,0,2034,1395,893,1670,1533,1573,177,2466,2042,1758,1251,1193,1033,1340,1052,1876,1692,2017,2042,2024,1679,1780,2006,1213,1778,548,1936,326,442,1022,1439,2289,1684,419,1968,746
"CAR",2211,352,611,504,2034,0,638,1456,371,1052,507,2069,673,525,1051,898,2228,2027,700,983,722,451,421,439,427,557,672,343,1903,328,2367,854,1773,2357,2377,661,585,543,2402,233,1341
"CHI",1729,589,851,446,1395,638,0,917,277,803,239,1432,1164,771,941,411,1742,1522,81,345,747,398,705,735,713,443,633,667,1456,412,1752,879,1138,1731,1836,261,1007,438,1770,597,716
"COL",821,1210,1766,1358,893,1456,917,0,1164,662,1155,1034,1702,1688,880,558,831,608,913,705,1636,1022,1619,1650,1628,1347,1521,1576,588,1319,980,1752,863,1018,927,796,1523,1344,1104,1491,799
"CBJ",1960,436,642,297,1670,371,277,1164,0,912,163,1700,967,553,993,619,1975,1761,331,618,612,334,468,498,477,328,514,415,1671,162,2027,756,1404,2008,2090,396,832,315,2047,328,971
"DAL",1216,720,1549,1196,1533,1052,803,662,912,0,999,1654,1091,1458,227,453,1238,1069,857,863,1515,617,1363,1392,1372,1213,1408,1296,894,1070,1630,1656,1428,1678,1449,547,918,1203,1766,1183,1182
"DET",1968,596,612,209,1573,507,239,1155,163,999,0,1590,1128,533,1106,643,1980,1761,252,534,520,470,472,501,481,215,410,443,1694,205,1964,658,1292,1933,2072,454,994,207,1964,395,852
"EDM",1383,1971,2071,1716,177,2069,1432,1034,1700,1654,1590,0,2540,2030,1880,1337,1370,1210,1369,1088,1846,1757,2014,2038,2021,1674,1757,2011,1386,1795,691,1894,298,567,1192,1506,2366,1681,510,1984,741
"FLA",2295,579,1237,1172,2466,673,1164,1702,967,1091,1128,2540,0,1163,950,1216,2318,2159,1242,1479,1387,789,1067,1078,1071,1224,1345,995,1972,987,2681,1512,2260,2706,2539,1035,180,1209,2777,901,1868
"HAR",2499,845,93,338,2042,525,771,1688,553,1458,533,2030,1163,0,1512,1163,2512,2293,781,1046,261,849,106,86,98,367,293,183,2218,392,2472,357,1737,2430,2604,948,1103,364,2448,303,1297
"HOU",1349,701,1604,1288,1758,1051,941,880,993,227,1106,1880,950,1512,0,647,1373,1227,1006,1057,1605,666,1410,1438,1419,1313,1505,1338,1026,1137,1834,1748,1654,1890,1609,680,791,1301,1981,1219,1395
"KC",1341,675,1248,852,1251,898,411,558,619,453,643,1337,1216,1163,647,0,1356,1143,441,411,1157,473,1085,1115,1094,853,1043,1034,1055,780,1493,1289,1074,1503,1483,238,1038,847,1566,942,756
"LA",28,1933,2592,2186,1193,2228,1742,831,1975,1238,1980,1370,2318,2512,1373,1356,0,225,1742,1530,2466,1778,2438,2469,2448,2176,2351,2390,347,2134,827,2582,1379,960,305,1587,2151,2173,1081,2296,1531
"LV",220,1744,2373,1966,1033,2027,1522,608,1761,1069,1761,1210,2159,2293,1227,1143,225,0,1521,1304,2243,1579,2222,2253,2231,1955,2128,2175,242,1919,760,2357,1187,874,382,1378,1987,1952,994,2085,1312
"MIL",1731,669,856,447,1340,700,81,913,331,857,252,1369,1242,781,1006,441,1742,1521,0,289,729,479,724,753,732,434,614,694,1467,446,1714,854,1073,1687,1824,328,1087,431,1721,636,645
"MIN",1522,901,1112,708,1052,983,345,705,618,863,534,1088,1479,1046,1057,411,1530,1304,289,0,949,691,1000,1028,1008,683,836,976,1288,734,1431,1056,795,1400,1578,461,1313,684,1432,924,390
"MON",2456,993,250,319,1876,722,747,1636,612,1515,520,1846,1387,261,1605,1157,2466,2243,729,949,0,943,330,330,329,305,115,395,2196,477,2339,144,1560,2283,2527,974,1307,313,2290,489,1132
"NAS",1760,214,942,630,1692,451,398,1022,334,617,470,1757,789,849,666,473,1778,1579,479,691,943,0,751,779,760,661,848,682,1452,472,1965,1087,1473,1971,1935,254,621,648,2029,567,1081
"NJ",2425,740,196,299,2017,421,705,1619,468,1363,472,2014,1067,106,1410,1085,2438,2222,724,1000,330,751,0,30,9,341,328,78,2139,306,2430,446,1718,2394,2541,864,1001,334,2417,197,1276
"NYI",2455,764,173,325,2042,439,735,1650,498,1392,501,2038,1078,86,1438,1115,2469,2253,753,1028,330,779,30,0,21,365,337,101,2169,336,2458,438,1742,2421,2571,894,1016,358,2444,221,1300
"NYR",2434,748,188,306,2024,427,713,1628,477,1372,481,2021,1071,98,1419,1094,2448,2231,732,1008,329,760,9,21,0,347,329,85,2148,315,2438,442,1725,2401,2550,873,1007,340,2425,205,1282
"ONT",2165,749,430,55,1679,557,443,1347,328,1213,215,1674,1224,367,1313,853,2176,1955,434,683,305,661,341,365,347,0,195,347,1898,238,2105,443,1378,2063,2252,669,1113,15,2082,363,936
"OTT",2341,915,316,218,1780,672,633,1521,514,1408,410,1757,1345,293,1505,1043,2351,2128,614,836,115,848,328,337,329,195,0,375,2081,394,2234,248,1467,2182,2414,864,1251,205,2192,446,1034
"PHI",2375,663,273,298,2006,343,667,1576,415,1296,443,2011,995,183,1338,1034,2390,2175,694,976,395,682,78,101,85,347,375,0,2085,257,2406,518,1714,2375,2500,808,925,337,2402,121,1271
"PHO",323,1598,2302,1902,1213,1903,1456,588,1671,894,1694,1386,1972,2218,1026,1055,347,242,1467,1288,2196,1452,2139,2169,2148,1898,2081,2085,0,1833,996,2320,1319,1104,602,1278,1805,1893,1222,1986,1368
"PIT",2120,521,481,189,1778,328,412,1319,162,1070,205,1795,987,392,1137,780,2134,1919,446,734,477,472,306,336,315,238,394,257,1833,0,2160,621,1497,2133,2243,558,875,224,2166,190,1056
"POR",849,2168,2532,2136,548,2367,1752,980,2027,1630,1964,691,2681,2472,1834,1493,827,760,1714,1431,2339,1965,2430,2458,2438,2105,2234,2406,996,2160,0,2417,857,143,568,1719,2501,2108,260,2348,1218
"QUE",2573,1135,309,461,1936,854,879,1752,756,1656,658,1894,1512,357,1748,1289,2582,2357,854,1056,144,1087,446,438,442,443,248,518,2320,621,2417,0,1615,2354,2631,1112,1439,453,2354,621,1201
"SAS",1387,1686,1780,1420,326,1773,1138,863,1404,1428,1292,298,2260,1737,1654,1074,1379,1187,1073,795,1560,1473,1718,1742,1725,1378,1467,1714,1319,1497,857,1615,0,764,1264,1226,2088,1384,744,1686,443
"SEA",980,2177,2485,2097,442,2357,1731,1018,2008,1678,1933,567,2706,2430,1890,1503,960,874,1687,1400,2283,1971,2394,2421,2401,2063,2182,2375,1104,2133,143,2354,764,0,709,1720,2526,2067,122,2323,1153
"SJ",332,2109,2679,2270,1022,2377,1836,927,2090,1449,2072,1192,2539,2604,1609,1483,305,382,1824,1578,2527,1935,2541,2571,2550,2252,2414,2500,602,2243,568,2631,1264,709,0,1720,2367,2251,828,2417,1501
"STL",1572,467,1036,658,1439,661,261,796,396,547,454,1506,1035,948,680,238,1587,1378,328,461,974,254,864,894,873,669,864,808,1278,558,1719,1112,1226,1720,1720,0,863,660,1776,710,850
"TB",2129,418,1184,1063,2289,585,1007,1523,832,918,994,2366,180,1103,791,1038,2151,1987,1087,1313,1307,621,1001,1016,1007,1113,1251,925,1805,875,2501,1439,2088,2526,2367,863,0,1098,2597,819,1703
"TOR",2162,734,429,42,1684,543,438,1344,315,1203,207,1681,1209,364,1301,847,2173,1952,431,684,313,648,334,358,340,15,205,337,1893,224,2108,453,1384,2067,2251,660,1098,0,2087,350,942
"VAN",1102,2238,2500,2119,419,2402,1770,1104,2047,1766,1964,510,2777,2448,1981,1566,1081,994,1721,1432,2290,2029,2417,2444,2425,2082,2192,2402,1222,2166,260,2354,744,122,828,1776,2597,2087,0,2356,1158
"WAS",2281,543,394,308,1968,233,597,1491,328,1183,395,1984,901,303,1219,942,2296,2085,636,924,489,567,197,221,205,363,446,121,1986,190,2348,621,1686,2323,2417,710,819,350,2356,0,1244
"WPG",1531,1290,1344,977,746,1341,716,799,971,1182,852,741,1868,1297,1395,756,1531,1312,645,390,1132,1081,1276,1300,1282,936,1034,1271,1368,1056,1218,1201,443,1153,1501,850,1703,942,1158,1244,0
