team,arena,lat,long
ARI,Chase Field,33.4463,-112.06883
ATL,Turner Field,33.73508,-84.39018
BAL,Camden Yards,39.28381,-76.6217
BOS,Fenway Park,42.34663,-71.09713
CHC,Wrigley Field,41.94808,-87.65555
CHW,US Cellular Field,41.83123,-87.63186
CIN,The Great American Ballpark,39.09784,-84.50794
CLE,Progressive Field,41.49621,-81.68517
COL,Coors Field,39.75542,-104.99383
DET,Comerica Park,42.33817,-83.05163
HOU,Minute Maid Park,29.75711,-95.3554
KC,Kauffman Stadium,39.051389,-94.480556
LAA,Angel Stadium,33.80012,-117.88306
LAD,Dodger Stadium,34.07327,-118.23969
MIA,Marlins Park,25.778056,-80.219722
MIL,Miller Park,43.02798,-87.97115
MIN,Target Field,44.98221,-93.27733
NYM,Citi Field,40.75699,-73.84574
NYY,Yankee Stadium,40.82955,-73.92625
OAK,The Oakland Coliseum,37.75162,-122.20064
PHI,Citizens Bank Park,39.90574,-75.1665
PIT,PNC Park,40.446944,-80.005833
SD,Petco Park,32.70719,-117.15487
SEA,Safeco Field,47.59232,-122.33413
SF,AT&T Park,37.778333,-122.389444
STL,Busch Stadium,38.62234,-90.19311
TB,Tropicana Field,27.76851,-82.65152
TEX,Rangers Ballpark,32.75132,-97.0826
TOR,Rogers Centre,43.641389,-79.389167
WAS,Nationals Park,38.87278,-77.00682
